job_title,company,url
"Customer Engineer, Small/Medium Businesses, Google Cloud (Korean) - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560445&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Technical Solutions Specialist, Hybrid Cloud, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560447&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Solution Architect, 2-year contract, BIS Innovation Hub",Monetary Authority Of Singapore,https://www.monster.com.sg/seeker/job-details?id=5559968&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Assistant Director (Information Technology Audit Department),Rma Consultants Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5565244&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Lead Data Scientist,Tokopedia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5116061&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Assistant Director (Information Technology Audit Department),Business Edge Personnel Services Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5562961&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IT Infra Project Manager (106),It Consultancy & Services Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5564082&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Group Director (Information Technology Audit Department),Business Edge Personnel Services Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5562960&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud L2 Tech Support,Zenith Infotech (s) Pte Ltd.,https://www.monster.com.sg/seeker/job-details?id=5553333&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IT Project Manager(Exp in Govt Projects),Oaktree Consulting,https://www.monster.com.sg/seeker/job-details?id=5564032&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Business Development Consultant,Maha Mart Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5550389&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Principal Software Engineer (Golang/NodeJS) - Fintech Startup,Page Personnel Recruitment Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5553847&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5099775&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Portfolio Success Manager,Pegasystems Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5550839&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Expert,Evagroup Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5152309&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
SENIOR / SALES MANAGER (IT SERVICES),Coens Energy Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5552327&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Technical Support Engineer (POS System) - 5 Days / Kim Keat Rd / POS System [3770],The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5547114&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Project Manager,Infocepts Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5554453&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IT Desktop/Application Support (No exp welcome),Search Index Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5547325&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Information Technology - Solution Architect (Customer Service),Singapore Airlines Limited,https://www.monster.com.sg/seeker/job-details?id=4772233&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
TRAINING & DEVELOPMENT MANAGER (PERM),Hr Factors Personnel Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5546206&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Solution Architect,Span Consultancy Services Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5196507&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
BUSINESS DEVELOPMENT CONSULTANT,Az Telecommunications Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542542&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Assistant Service Sales Manager,Job Lions Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542375&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Manager /Engineer/Technician- Fire Protection System / Fire Alarm System,Forte Employment Services Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542718&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542560&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542551&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542554&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542577&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542549&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Customer Engineer,Applied Materials South East Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542548&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Sales Manager,Emerson Asia Pacific Private Limited,https://www.monster.com.sg/seeker/job-details?id=5541627&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Manager, Software Development",Data Center First Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5542096&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Technical Consultant - Automation,Ashnik Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5534188&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Quesscorp Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5533224&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Business Development Director,Oracle Capac Services Unlimited Company (singapore Branch),https://www.monster.com.sg/seeker/job-details?id=5536281&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (AWS),Manpower Staffing Services (singapore) Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5536819&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
DevOps Engineer***,Ethos Search Associates Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5533799&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Technical Lead - IBM ITX,Hcl Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5538435&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Staff Engineer, Security",Viki Private Limited,https://www.monster.com.sg/seeker/job-details?id=5534516&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Golang Developer (Backend),Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5536138&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Sr. Partner Development Manager,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5536238&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Enterprise Architect – Infrastructure and Cloud (12 months),Quest Global Services Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5536036&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Business Development Manager (InsurTech),Oneconnect Financial Technology (singapore) Co. Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5534782&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
QLIK VIEW DEVELOPER,Resource Hunt Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5531975&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Sr. Partner Development Manager,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5536240&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Account Executive- SEA - Public Sector & Strategic Accounts,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5536165&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Sr. Partner Development Manager,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5536239&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Sr. Partner Development Manager,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5536242&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IT Infrastructure Manager APAC,Asendia Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4381433&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Helpdesk/Application Support Specialist (Digital Firm),Page Personnel Recruitment Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5537203&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Developer (105),It Consultancy & Services Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=4808957&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Service Sales Manager ($5500, Maintenance Sales, ICT)",Atomrecruit Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5525153&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Program Manager, APJ SMB",Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5524629&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Aspiring Data Engineer #TeSA #CLT,Thoughtworks Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5522779&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Java Developer / Senior Java Developer,Straitdeer Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4834436&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Principal Technical Advisor - FastTrack for Azure,Microsoft Operations Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5523874&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
