job_title,company,url
Cloud Architect,Viseo Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5574393&searchId=b59972d9-6969-4f2f-b503-16a051718644
22425103 Senior Cloud Tenant Ops Engineer,Citibank N.a.,https://www.monster.com.sg/seeker/job-details?id=5597752&searchId=b59972d9-6969-4f2f-b503-16a051718644
Specialist Consultant - Cloud Operations,Amazon,https://www.monster.com.sg/seeker/job-details?id=5565705&searchId=b59972d9-6969-4f2f-b503-16a051718644
DevOps Engineer,Stemly Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5306058&searchId=b59972d9-6969-4f2f-b503-16a051718644
DevOps MLOps Lead,Stemly Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5306057&searchId=b59972d9-6969-4f2f-b503-16a051718644
Part Time,Global Airfreight International Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5612453&searchId=b59972d9-6969-4f2f-b503-16a051718644
Manager - Cloud Solutions Architect - SG,Deloitte,https://www.monster.com.sg/seeker/job-details?id=5119289&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Solution Architect - Data & Analytics (ARC Specialization),Microsoft,https://www.monster.com.sg/seeker/job-details?id=5580435&searchId=b59972d9-6969-4f2f-b503-16a051718644
Presales Solution Architect,Wiz Technologies (s) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600815&searchId=b59972d9-6969-4f2f-b503-16a051718644
Dot Net Developer - Singapore,RIDIK Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5557543&searchId=b59972d9-6969-4f2f-b503-16a051718644
Solution Consultant,Whale Cloud Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5057292&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Network Operations Engineer (Network / Azure / ITIL) – Perm, East",Gmp Technologies (s) Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5589879&searchId=b59972d9-6969-4f2f-b503-16a051718644
Business Analyst -HR Cloud Implementation,Michael Page International Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5585853&searchId=b59972d9-6969-4f2f-b503-16a051718644
Solution Architect (JEE/Cloud Native),Recruit Expert Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5500399&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Sourcer, Google Cloud Recruiting - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4665308&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Manager, Cloud Operations",Recruit Haus Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5578485&searchId=b59972d9-6969-4f2f-b503-16a051718644
Solution Architect- Cloud,Avensys Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5577425&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Security Engineer,Envision Digital International Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5574556&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Engineer(Azure),Oaktree Consulting,https://www.monster.com.sg/seeker/job-details?id=5577163&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Infrastructure Consultant,Evagroup Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5577413&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Security Engineer,Abs Connect Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5572293&searchId=b59972d9-6969-4f2f-b503-16a051718644
IAM/PAM Capability Lead,Gxs Bank Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5612428&searchId=b59972d9-6969-4f2f-b503-16a051718644
AWS Architect,Viseo Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5574391&searchId=b59972d9-6969-4f2f-b503-16a051718644
"SVP/VP, Technology Risk Manager, Cloud Engineering %26 Services, Technology %26 Operations",DBS Bank Ltd,https://www.monster.com.sg/seeker/cjt/job-vacancy-svp-vp-technology-risk-manager-cloud-engineering-26-services-technology-26-operations-dbs-bank-ltd-singapore-12-15-years-33457829
Solutions Architect (Bank)(JT),A-it Software Services Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5612379&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Programme Lead,Standard Chartered,https://www.monster.com.sg/seeker/job-details?id=5554837&searchId=b59972d9-6969-4f2f-b503-16a051718644
AEM Developer/Adobe Experience Manager,Forte Employment Services Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5606961&searchId=b59972d9-6969-4f2f-b503-16a051718644
System Support Manager/ Assistant Manager,Novacitynets Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5281736&searchId=b59972d9-6969-4f2f-b503-16a051718644
SEO Content Editor [Crypto Content Creation/ Up to $4500] 2512,The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5609724&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Network Engineer (CCNP),Ea Recruitment Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5608570&searchId=b59972d9-6969-4f2f-b503-16a051718644
JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5606000&searchId=b59972d9-6969-4f2f-b503-16a051718644
Principal Software Engineer,Grit Search Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5569693&searchId=b59972d9-6969-4f2f-b503-16a051718644
Linux Specialist,Avaloq Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5585007&searchId=b59972d9-6969-4f2f-b503-16a051718644
Software Support Engineer (Medical Cloud solutions),Ca Search Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5586586&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Administrative Business Partner, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5585217&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Senior Cloud Software Engineer, HD Maps",Motional Singapore Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=4567884&searchId=b59972d9-6969-4f2f-b503-16a051718644
DevOps Engineer (Cloud/ Java/ up to $12K + Bonus + Comprehensive Benefits) JO,Search Index Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5220465&searchId=b59972d9-6969-4f2f-b503-16a051718644
DevOps Engineer,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=4540452&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Public Cloud Solution Engineer (GCP), Technology and Operations",DBS Bank Ltd,https://www.monster.com.sg/seeker/cjt/job-vacancy-public-cloud-solution-engineer-gcp-technology-and-operations-dbs-bank-ltd-singapore-5-8-years-28053749
Cloud Native Architect,Vmware,https://www.monster.com.sg/seeker/job-details?id=3923363&searchId=b59972d9-6969-4f2f-b503-16a051718644
AWS Architect,Viseo Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5574394&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cyber Security Specialist,Ridik Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602158&searchId=b59972d9-6969-4f2f-b503-16a051718644
Lead Cloud Sales Consultant,Searce Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5589546&searchId=b59972d9-6969-4f2f-b503-16a051718644
Specialist Consultant - Cloud Operations,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5577131&searchId=b59972d9-6969-4f2f-b503-16a051718644
DevOps Engineer,Doo Capital Market Sg Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5597265&searchId=b59972d9-6969-4f2f-b503-16a051718644
Videographer,Asdor Digital Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4862862&searchId=b59972d9-6969-4f2f-b503-16a051718644
Technical Sales Specialist [ 5 Days | Up to $3500 | Mattar MRT | Life Science Products Industry ] - 5685,The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5283837&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Solution Engineer - Cloud Solutions/ Product,GMP Technologies,https://www.monster.com.sg/seeker/cjt/job-vacancy-senior-solution-engineer-cloud-solutions-product-gmp-technologies-singapore-5-15-years-28825023
Data Technology Lead / Technical Architect (Bigdata/DWH),Trinity Hr Solutions Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5582747&searchId=b59972d9-6969-4f2f-b503-16a051718644
DevOps Engineer ( Web Solutions/ IaaS/ AWS/ Azure/ 5 Days/ Up $7000 ) #SGUnitedjobs,People Profilers Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5263204&searchId=b59972d9-6969-4f2f-b503-16a051718644
"VP, Public Cloud Solution Engineer, Group Technology %26 Operations",DBS Bank Ltd,https://www.monster.com.sg/seeker/cjt/job-vacancy-vp-public-cloud-solution-engineer-group-technology-26-operations-dbs-bank-ltd-singapore-3-6-years-28053757
"Senior Associate, Infrastructure Cloud DevOps Engineer, Technology %26 Operations",DBS Bank Ltd,https://www.monster.com.sg/seeker/cjt/job-vacancy-senior-associate-infrastructure-cloud-devops-engineer-technology-26-operations-dbs-bank-ltd-singapore-27739189
22422783 SOC Advanced Cyber Defense Analyst (AVP),Citibank N.a.,https://www.monster.com.sg/seeker/job-details?id=5597763&searchId=b59972d9-6969-4f2f-b503-16a051718644
Amazon Connect Specialty Consultant,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5599958&searchId=b59972d9-6969-4f2f-b503-16a051718644
Java Developer,K2 Partnering Solutions Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5596107&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5605997&searchId=b59972d9-6969-4f2f-b503-16a051718644
Project Manager (Engineering / Data Project),Search Index Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5609909&searchId=b59972d9-6969-4f2f-b503-16a051718644
Data Architect,Ntuc Income Insurance Co-operative Ltd,https://www.monster.com.sg/seeker/job-details?id=5585262&searchId=b59972d9-6969-4f2f-b503-16a051718644
Business Analyst,In.corp Global Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4643756&searchId=b59972d9-6969-4f2f-b503-16a051718644
"SVP, Technology Risk Manager, Cloud Engineering & Services, Technology & Operations (WD34144)",Dbs Bank Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602364&searchId=b59972d9-6969-4f2f-b503-16a051718644
