Source,Target,Type,Weight
11798,336,undirected,1
11798,132,undirected,1
11798,337,undirected,1
11798,338,undirected,1
11798,339,undirected,1
11798,340,undirected,1
11798,341,undirected,1
11798,342,undirected,1
11798,343,undirected,1
11798,344,undirected,1
11798,345,undirected,1
11798,346,undirected,1
11798,347,undirected,1
11798,348,undirected,1
11799,349,undirected,1
11799,350,undirected,1
11799,301,undirected,1
11799,351,undirected,1
11799,101,undirected,1
11799,352,undirected,1
11799,102,undirected,1
11799,353,undirected,1
11799,200,undirected,1
11799,354,undirected,1
11799,355,undirected,1
11799,356,undirected,1
11799,357,undirected,1
11799,3,undirected,1
11799,358,undirected,1
11799,106,undirected,1
11799,107,undirected,1
11799,359,undirected,1
11799,360,undirected,1
11799,301,undirected,1
11799,361,undirected,1
11799,236,undirected,1
11799,362,undirected,1
11799,72,undirected,1
11799,363,undirected,1
11799,14,undirected,1
11799,364,undirected,1
11799,365,undirected,1
11799,366,undirected,1
11799,367,undirected,1
11799,119,undirected,1
11799,368,undirected,1
11799,369,undirected,1
11799,370,undirected,1
11799,371,undirected,1
11799,154,undirected,1
11799,372,undirected,1
11799,373,undirected,1
11799,374,undirected,1
11799,375,undirected,1
11799,376,undirected,1
11799,69,undirected,1
11799,377,undirected,1
11799,378,undirected,1
11799,379,undirected,1
11799,380,undirected,1
11799,381,undirected,1
11799,254,undirected,1
11799,382,undirected,1
11799,383,undirected,1
11799,384,undirected,1
11799,385,undirected,1
11799,386,undirected,1
11799,387,undirected,1
11799,124,undirected,1
11799,388,undirected,1
11799,389,undirected,1
11799,390,undirected,1
11799,90,undirected,1
11799,391,undirected,1
11799,26,undirected,1
11799,392,undirected,1
11799,54,undirected,1
11799,393,undirected,1
11799,394,undirected,1
11799,133,undirected,1
11799,62,undirected,1
11799,268,undirected,1
11799,395,undirected,1
11799,396,undirected,1
11799,397,undirected,1
11799,398,undirected,1
11799,378,undirected,1
11799,399,undirected,1
11800,138,undirected,1
11800,139,undirected,1
11800,160,undirected,1
11800,400,undirected,1
11800,401,undirected,1
11800,105,undirected,1
11800,402,undirected,1
11800,69,undirected,1
11800,400,undirected,1
11800,403,undirected,1
11800,364,undirected,1
11800,365,undirected,1
11800,404,undirected,1
11800,405,undirected,1
11800,152,undirected,1
11800,406,undirected,1
11800,80,undirected,1
11800,397,undirected,1
11800,87,undirected,1
11800,407,undirected,1
11800,158,undirected,1
11800,408,undirected,1
11800,409,undirected,1
11800,160,undirected,1
11800,402,undirected,1
11800,52,undirected,1
11800,91,undirected,1
11800,26,undirected,1
11800,54,undirected,1
11800,410,undirected,1
11800,60,undirected,1
11800,162,undirected,1
11800,411,undirected,1
11800,222,undirected,1
11800,195,undirected,1
11800,412,undirected,1
11800,413,undirected,1
11800,414,undirected,1
11800,200,undirected,1
11801,415,undirected,1
11801,416,undirected,1
11801,417,undirected,1
11801,418,undirected,1
11801,419,undirected,1
11801,420,undirected,1
11801,421,undirected,1
11801,200,undirected,1
11801,422,undirected,1
11801,173,undirected,1
11801,423,undirected,1
11801,424,undirected,1
11801,425,undirected,1
11801,426,undirected,1
11801,427,undirected,1
11801,428,undirected,1
11801,429,undirected,1
11801,33,undirected,1
11801,430,undirected,1
11801,431,undirected,1
11801,432,undirected,1
11801,433,undirected,1
11801,365,undirected,1
11801,434,undirected,1
11801,294,undirected,1
11801,3,undirected,1
11801,415,undirected,1
11801,406,undirected,1
11801,435,undirected,1
11801,436,undirected,1
11801,247,undirected,1
11801,419,undirected,1
11801,437,undirected,1
11801,250,undirected,1
11801,438,undirected,1
11801,439,undirected,1
11801,87,undirected,1
11801,440,undirected,1
11801,441,undirected,1
11801,258,undirected,1
11801,52,undirected,1
11801,427,undirected,1
11801,126,undirected,1
11801,125,undirected,1
11801,26,undirected,1
11801,54,undirected,1
11801,442,undirected,1
11801,258,undirected,1
11801,443,undirected,1
11801,444,undirected,1
11801,350,undirected,1
11801,445,undirected,1
11802,100,undirected,1
11802,446,undirected,1
11802,447,undirected,1
11802,101,undirected,1
11802,448,undirected,1
11802,449,undirected,1
11802,102,undirected,1
11802,450,undirected,1
11802,451,undirected,1
11802,452,undirected,1
11802,453,undirected,1
11802,105,undirected,1
11802,3,undirected,1
11802,454,undirected,1
11802,455,undirected,1
11802,110,undirected,1
11802,33,undirected,1
11802,456,undirected,1
11802,146,undirected,1
11802,457,undirected,1
11802,458,undirected,1
11802,459,undirected,1
11802,460,undirected,1
11802,461,undirected,1
11802,427,undirected,1
11802,282,undirected,1
11802,462,undirected,1
11802,463,undirected,1
11802,464,undirected,1
11802,465,undirected,1
11802,466,undirected,1
11802,467,undirected,1
11802,468,undirected,1
11802,391,undirected,1
11802,25,undirected,1
11802,25,undirected,1
11802,126,undirected,1
11802,26,undirected,1
11802,260,undirected,1
11802,262,undirected,1
11802,131,undirected,1
11802,469,undirected,1
11802,293,undirected,1
11802,470,undirected,1
11802,471,undirected,1
11802,472,undirected,1
11802,268,undirected,1
11802,198,undirected,1
11802,473,undirected,1
11802,474,undirected,1
11802,200,undirected,1
11803,100,undirected,1
11803,446,undirected,1
11803,447,undirected,1
11803,101,undirected,1
11803,448,undirected,1
11803,449,undirected,1
11803,102,undirected,1
11803,450,undirected,1
11803,451,undirected,1
11803,452,undirected,1
11803,453,undirected,1
11803,105,undirected,1
