Source,Target,Type,Weight
6674,300,undirected,1
6674,301,undirected,1
6674,155,undirected,1
6674,302,undirected,1
6674,303,undirected,1
6674,304,undirected,1
6674,305,undirected,1
6674,306,undirected,1
6674,56,undirected,1
6674,307,undirected,1
6674,57,undirected,1
6674,308,undirected,1
6674,309,undirected,1
6674,164,undirected,1
6674,225,undirected,1
6674,64,undirected,1
6674,310,undirected,1
6674,311,undirected,1
6674,312,undirected,1
6674,313,undirected,1
6674,291,undirected,1
6674,314,undirected,1
6675,315,undirected,1
6675,316,undirected,1
6675,317,undirected,1
6675,318,undirected,1
6675,319,undirected,1
6675,320,undirected,1
6675,321,undirected,1
6675,131,undirected,1
6675,322,undirected,1
6675,205,undirected,1
6675,323,undirected,1
6675,324,undirected,1
6675,325,undirected,1
6675,326,undirected,1
6675,327,undirected,1
6675,328,undirected,1
6675,329,undirected,1
6675,21,undirected,1
6675,330,undirected,1
6675,331,undirected,1
6675,332,undirected,1
6675,333,undirected,1
6675,278,undirected,1
6675,334,undirected,1
6675,256,undirected,1
6675,71,undirected,1
6675,315,undirected,1
6675,335,undirected,1
6675,336,undirected,1
6675,337,undirected,1
6675,40,undirected,1
6675,319,undirected,1
6675,338,undirected,1
6675,339,undirected,1
6675,111,undirected,1
6675,340,undirected,1
6675,49,undirected,1
6675,341,undirected,1
6675,342,undirected,1
6675,343,undirected,1
6675,121,undirected,1
6675,327,undirected,1
6675,157,undirected,1
6675,156,undirected,1
6675,56,undirected,1
6675,57,undirected,1
6675,344,undirected,1
6675,343,undirected,1
6675,345,undirected,1
6675,346,undirected,1
6675,262,undirected,1
6675,347,undirected,1
6676,133,undirected,1
6676,348,undirected,1
6676,349,undirected,1
6676,10,undirected,1
6676,350,undirected,1
6676,351,undirected,1
6676,99,undirected,1
6676,352,undirected,1
6676,353,undirected,1
6676,354,undirected,1
6676,355,undirected,1
6676,136,undirected,1
6676,71,undirected,1
6676,356,undirected,1
6676,357,undirected,1
6676,19,undirected,1
6676,21,undirected,1
6676,358,undirected,1
6676,178,undirected,1
6676,359,undirected,1
6676,360,undirected,1
6676,361,undirected,1
6676,362,undirected,1
6676,363,undirected,1
6676,327,undirected,1
6676,243,undirected,1
6676,364,undirected,1
6676,365,undirected,1
6676,366,undirected,1
6676,51,undirected,1
6676,367,undirected,1
6676,368,undirected,1
6676,369,undirected,1
6676,306,undirected,1
6676,92,undirected,1
6676,92,undirected,1
6676,157,undirected,1
6676,56,undirected,1
6676,370,undirected,1
6676,371,undirected,1
6676,60,undirected,1
6676,372,undirected,1
6676,255,undirected,1
6676,373,undirected,1
6676,374,undirected,1
6676,375,undirected,1
6676,64,undirected,1
